Unnamed: 0,filename,LE_left,LE_top,LE_right,LE_bottom,RE_left,RE_top,RE_right,RE_bottom,lx,ly,rx,ry,relative_lx,relative_ly,relative_rx,relative_ry
0,001/0/2022-09-26 08:07:22.792702-37704.jpg,131,410,375,525,633,429,856,545,252,470,766,483,121,60,133,54
1,001/0/2022-09-26 08:07:23.101953-37752.jpg,163,479,379,564,621,479,821,584,260,531,740,537,97,52,119,58
2,001/0/2022-09-26 08:07:22.818864-37708.jpg,130,410,373,525,632,431,854,547,255,471,763,486,125,61,131,55
3,001/0/2022-09-26 08:07:23.225207-37772.jpg,183,523,380,593,624,526,807,610,261,572,723,578,78,49,99,52
4,001/0/2022-09-26 08:07:23.126469-37756.jpg,167,481,379,566,622,480,822,583,262,540,733,546,95,59,111,66
5,001/0/2022-09-26 08:07:22.609269-37676.jpg,119,405,360,513,631,420,853,531,232,454,760,467,113,49,129,47
6,001/0/2022-09-26 08:07:23.491366-37816.jpg,138,476,359,569,621,502,829,587,15,14,15,14,-123,-462,-606,-488
7,001/0/2022-09-26 08:04:18.217555-10736.jpg,105,383,347,503,618,402,847,514,205,435,733,449,100,52,115,47
8,001/0/2022-09-26 08:05:26.425259-20752.jpg,104,391,342,508,616,403,848,515,200,446,732,463,96,55,116,60
9,001/0/2022-09-26 08:07:23.274089-37780.jpg,184,571,372,619,615,578,799,636,260,591,714,594,76,20,99,16
10,001/0/2022-09-26 08:07:22.922842-37724.jpg,148,432,386,531,638,449,852,554,263,488,757,500,115,56,119,51
11,001/0/2022-09-26 08:07:23.395425-37800.jpg,146,516,345,604,609,534,812,612,15,16,15,16,-131,-500,-594,-518
12,001/0/2022-09-26 08:07:23.200909-37768.jpg,173,502,380,582,625,500,814,598,263,565,726,568,90,63,101,68
13,001/0/2022-09-26 08:07:00.941717-34504.jpg,114,388,361,505,630,410,856,521,214,450,741,468,100,62,111,58
14,001/0/2022-09-26 08:07:22.372200-37640.jpg,119,405,352,517,627,423,847,534,224,462,747,479,105,57,120,56
15,001/0/2022-09-26 08:03:13.831353-1260.jpg,100,400,338,517,611,410,839,525,188,455,720,463,88,55,109,53
16,001/0/2022-09-26 08:04:38.388497-13700.jpg,108,380,346,500,619,395,846,508,214,436,745,450,106,56,126,55
17,001/0/2022-09-26 08:07:23.176219-37764.jpg,169,495,374,581,619,495,814,598,264,551,733,560,95,56,114,65
18,001/0/2022-09-26 08:05:37.184475-22324.jpg,110,401,350,519,620,412,851,528,215,450,748,466,105,49,128,54
19,001/0/2022-09-26 08:03:33.475201-4156.jpg,105,410,349,524,617,426,847,537,216,472,746,482,111,62,129,56
20,001/0/2022-09-26 08:07:22.897008-37720.jpg,152,430,384,530,638,443,853,549,255,483,761,497,103,53,123,54
21,001/0/2022-09-26 08:07:23.050834-37744.jpg,158,471,384,563,627,477,831,585,265,515,747,527,107,44,120,50
22,001/0/2022-09-26 08:07:23.609906-37836.jpg,144,503,356,592,620,538,824,612,19,14,19,14,-125,-489,-601,-524
23,001/0/2022-09-26 08:07:23.151164-37760.jpg,169,485,372,574,621,484,818,589,263,545,734,552,94,60,113,68
24,001/0/2022-09-26 08:06:34.312109-30636.jpg,111,382,352,506,618,401,850,516,207,437,737,449,96,55,119,48
25,001/0/2022-09-26 08:07:22.974683-37732.jpg,148,447,386,546,635,461,844,573,263,500,754,512,115,53,119,51
26,001/0/2022-09-26 08:07:23.346807-37792.jpg,163,573,347,638,597,579,793,644,262,628,702,627,99,55,105,48
27,001/0/2022-09-26 08:05:55.869793-25052.jpg,113,404,355,518,622,418,850,531,222,461,749,478,109,57,127,60
28,001/0/2022-09-26 08:07:22.556639-37668.jpg,127,407,360,510,631,431,848,530,229,456,753,468,102,49,122,37
